CACode,VaCode,Estimate,ASE,Flag
C03B,V07B,14.3,1.4,
C03B,V07C,15.6,1.9,
C03B,V07D,11.5,1.7,
C03B,V07E,3.7,0.9,
C03B,V07M,2.9,0.1,
C03B,V08A,23.1,2.3,
C03B,V09A,49.9,2.7,
C03B,V09B,28.1,2.4,
C03B,V09C,17.9,2,
C03B,V09D,4.1,1.2,
C03B,V10A,9,1.5,
C03B,V10B,28.4,2.3,
C03B,V10C,49.8,2.8,
C03B,V10D,12.8,1.8,
C03B,V10M,6.7,0.1,
C03B,V11A,7.8,1.3,
C03B,V11B,19.8,1.9,
C03B,V11C,43.9,2.3,
C03B,V11D,28.6,2.3,
C03B,V11M,7.4,0.1,
C03B,V12A,15.6,1.8,
C03B,V12B,31.9,2.5,
C03B,V12C,37.7,2.3,
C03B,V12D,14.8,1.9,
C03B,V12M,6.4,0.1,
C03B,V13A,6.1,1.3,
C03B,V13B,14.7,1.6,
C03B,V13C,40.5,2.8,
C03B,V13D,38.7,2.8,
C03B,V13M,7.7,0.1,
C03B,V14A,40.6,2.5,
C03B,V14B,34.7,2.4,
C03B,V14C,19,2.3,
C03B,V14D,5.6,1.2,
C03B,V14M,4.8,0.1,
C03B,V15A,64,2.4,
C03B,V15B,30.3,2.2,
C03B,V15C,5.7,1.1,
C03B,V16A,70.3,2.2,
C03B,V16B,21.8,1.9,
C03B,V16C,7.9,1.3,
C03B,V17A,2.7,0.8,
C03B,V17B,12.1,1.7,
C03B,V17C,25.2,2.4,
C03B,V17D,36.9,2.7,
C03B,V17E,23,2.3,
C03B,V18A,92.8,1.4,
C03B,V18B,7.2,1.4,
C03C,V00T,16.6,,B
C03C,V01A,15,1.4,
C03C,V01B,20.6,2,
C03C,V01C,35.3,2,
C03C,V01D,15.2,1.6,
C03C,V01E,14,1.6,
C03C,V01M,7.8,0.1,
C03C,V02A,11.2,1.6,
C03C,V02B,16.9,2,
C03C,V02C,32.3,2.2,
C03C,V02D,18.4,1.8,
C03C,V02E,21.2,1.8,
C03C,V02M,8.1,0.1,
C03C,V03A,15.8,1.7,
C03C,V03B,20.8,1.8,
C03C,V03C,33.1,2.2,
C03C,V03D,17.1,1.9,
C03C,V03E,13.3,1.7,
C03C,V03M,7.8,0.1,
C03C,V04A,7.2,1.3,
C03C,V04B,28.6,2,
C03C,V04C,42.9,2.3,
C03C,V04D,21.3,1.8,
C03C,V05A,20.2,2,
C03C,V05B,40.1,2.6,
C03C,V05C,29.4,2.1,
C03C,V05D,10.3,1.3,
C03C,V06A,1.3,0.5,*
C03C,V06B,3,0.7,
C03C,V06C,14.7,1.8,
C03C,V06D,42.1,2.3,
C03C,V06E,39,2.2,
C03C,V06M,7.9,0.1,
C03C,V07A,57.9,2.5,
C03C,V07B,11.9,1.6,
C03C,V07C,15.6,2.1,
C03C,V07D,11.8,1.4,
C03C,V07E,2.8,0.9,*
C03C,V07M,2.7,0.1,
C03C,V08A,19.4,1.7,
C03C,V09A,55.9,2.2,
C03C,V09B,23.7,1.9,
C03C,V09C,17.2,1.8,
C03C,V09D,3.3,0.8,
C03C,V10A,6.7,1.3,
C03C,V10B,26,1.9,
C03C,V10C,54.5,2.4,
C03C,V10D,12.9,1.6,
C03C,V10M,6.9,0.1,
C03C,V11A,7.7,1.1,
C03C,V11B,21.2,1.8,
C03C,V11C,46.6,2.1,
C03C,V11D,24.6,2,
C03C,V11M,7.2,0.1,
C03C,V12A,16.6,1.9,
C03C,V12B,29.4,2.2,
C03C,V12C,38.6,2.7,
C03C,V12D,15.4,1.8,
C03C,V12M,6.4,0.1,
C03C,V13A,4.5,1,
C03C,V13B,13.2,1.7,
C03C,V13C,39.9,2.3,
C03C,V13D,42.4,2,
